# Logfile created on 2026-08-16 13:46:40 +0200 by logger.rb/v1.5.3
2026-08-16 13:46:40 +0200: Memory Usage (454948K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/allmodes/signoff_hv/spi_slave_hv.gds
2026-08-16 13:46:40 +0200: Memory Usage (454948K) : Ruby Version for klayout: 3.2.3
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : Loading database to memory is complete.
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/allmodes/signoff_hv/drc/spi_slave_hv_spi_slave_main.lyrdb
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : Evaluate switches.
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : tables selected: main
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : deep mode is enabled.
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : FEOL enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : BEOL enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : OFFGRID enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : ANGLE enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : PIN enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : FORBIDDEN enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : RECOMMENDED enabled: true
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : PreCheck DRC enabled: false
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : CONNECTIVITY_RULES enabled: true.
2026-08-16 13:46:40 +0200: Memory Usage (456396K) : Read in polygons from layers.
2026-08-16 13:46:40 +0200: Memory Usage (458092K) : activ_drw has 14081 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458092K) : activ_pin has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458092K) : activ_mask has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458092K) : activ_filler has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : activ_nofill has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : activ_opc has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : activ_iopc has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : activ_noqrc has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : biwind_drw has 0 polygons
2026-08-16 13:46:40 +0200: Memory Usage (458348K) : biwind_opc has 0 polygons
2026-08-16 13:46:41 +0200: Memory Usage (458348K) : pemwind_drw has 0 polygons
