# Logfile created on 2026-08-08 22:31:00 +0200 by logger.rb/v1.5.3
2026-08-08 22:31:00 +0200: Memory Usage (454404K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:31:00 +0200: Memory Usage (454404K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : Loading database to memory is complete.
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_copperpillar.lyrdb
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : Evaluate switches.
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : tables selected: copperpillar
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : deep mode is enabled.
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : FEOL enabled: false
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : BEOL enabled: false
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : OFFGRID enabled: true
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : ANGLE enabled: true
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : PIN enabled: false
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : FORBIDDEN enabled: false
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : RECOMMENDED enabled: true
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : PreCheck DRC enabled: false
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:31:00 +0200: Memory Usage (456428K) : Read in polygons from layers.
2026-08-08 22:31:00 +0200: Memory Usage (457904K) : activ_drw has 8060 polygons
2026-08-08 22:31:00 +0200: Memory Usage (457904K) : activ_pin has 0 polygons
2026-08-08 22:31:00 +0200: Memory Usage (457904K) : activ_mask has 0 polygons
2026-08-08 22:31:00 +0200: Memory Usage (457904K) : activ_filler has 0 polygons
2026-08-08 22:31:00 +0200: Memory Usage (457904K) : activ_nofill has 0 polygons
2026-08-08 22:31:00 +0200: Memory Usage (458160K) : activ_opc has 0 polygons
