# Logfile created on 2026-08-08 22:29:27 +0200 by logger.rb/v1.5.3
2026-08-08 22:29:27 +0200: Memory Usage (454720K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:29:27 +0200: Memory Usage (454720K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:29:27 +0200: Memory Usage (456816K) : Loading database to memory is complete.
2026-08-08 22:29:27 +0200: Memory Usage (456816K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_latchup.lyrdb
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : Evaluate switches.
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : tables selected: latchup
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : deep mode is enabled.
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : FEOL enabled: false
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : BEOL enabled: false
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : OFFGRID enabled: true
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : ANGLE enabled: true
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : PIN enabled: false
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : FORBIDDEN enabled: false
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : RECOMMENDED enabled: true
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : PreCheck DRC enabled: false
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:29:27 +0200: Memory Usage (456944K) : Read in polygons from layers.
2026-08-08 22:29:27 +0200: Memory Usage (458428K) : activ_drw has 8060 polygons
2026-08-08 22:29:27 +0200: Memory Usage (458428K) : activ_pin has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458428K) : activ_mask has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458428K) : activ_filler has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458428K) : activ_nofill has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458556K) : activ_opc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458556K) : activ_iopc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458556K) : activ_noqrc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458556K) : biwind_drw has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458556K) : biwind_opc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458684K) : pemwind_drw has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458684K) : gatpoly_drw has 8381 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458812K) : gatpoly_pin has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458812K) : gatpoly_filler has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (458940K) : gatpoly_nofill has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459068K) : gatpoly_opc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459068K) : gatpoly_iopc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459196K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459368K) : cont_drw has 54323 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459496K) : cont_opc has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459496K) : nsd_drw has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459496K) : nsd_block has 0 polygons
2026-08-08 22:29:28 +0200: Memory Usage (459496K) : metal1_drw has 15572 polygons
