# Logfile created on 2026-08-08 22:32:09 +0200 by logger.rb/v1.5.3
2026-08-08 22:32:09 +0200: Memory Usage (454928K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:32:09 +0200: Memory Usage (454928K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:32:09 +0200: Memory Usage (457112K) : Loading database to memory is complete.
2026-08-08 22:32:09 +0200: Memory Usage (457112K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_metalnfiller.lyrdb
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : Evaluate switches.
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : tables selected: metalnfiller
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : deep mode is enabled.
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : FEOL enabled: false
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : BEOL enabled: false
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : OFFGRID enabled: true
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : ANGLE enabled: true
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : PIN enabled: false
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : FORBIDDEN enabled: false
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : RECOMMENDED enabled: true
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : PreCheck DRC enabled: false
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:32:09 +0200: Memory Usage (457296K) : Read in polygons from layers.
2026-08-08 22:32:09 +0200: Memory Usage (458836K) : activ_drw has 8060 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458836K) : activ_pin has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458836K) : activ_mask has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458836K) : activ_filler has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458836K) : activ_nofill has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458964K) : activ_opc has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458964K) : activ_iopc has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458964K) : activ_noqrc has 0 polygons
2026-08-08 22:32:09 +0200: Memory Usage (458964K) : biwind_drw has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459092K) : biwind_opc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459092K) : pemwind_drw has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459092K) : gatpoly_drw has 8381 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459220K) : gatpoly_pin has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459348K) : gatpoly_filler has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459348K) : gatpoly_nofill has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : gatpoly_opc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : gatpoly_iopc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : cont_drw has 54323 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : cont_opc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : nsd_drw has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459476K) : nsd_block has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_drw has 15572 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_pin has 5570 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_mask has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_filler has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_nofill has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459664K) : metal1_slit has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_text has 5488 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_opc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_noqrc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_res has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_iprobe has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal1_diffprb has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : passiv_drw has 12 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : passiv_pin has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : passiv_sbump has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : passiv_pillar has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : passiv_pdl has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_drw has 7662 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_pin has 19 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_mask has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_filler has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_nofill has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_slit has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_text has 19 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_opc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_noqrc has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_res has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_iprobe has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : metal2_diffprb has 0 polygons
2026-08-08 22:32:10 +0200: Memory Usage (459848K) : baspoly_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : baspoly_pin has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : psd_drw has 3408 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : nldb_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : digibnd_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : via1_drw has 2569 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_pin has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_mask has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_filler has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_nofill has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_slit has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_text has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_opc has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_noqrc has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_res has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459848K) : backmetal1_iprobe has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : backmetal1_diffprb has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : backpassiv_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : res_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : sram_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : trans_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : ind_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : ind_pin has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : ind_text has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : salblock_drw has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : via2_drw has 2316 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_drw has 3647 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_pin has 11 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_mask has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_filler has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_nofill has 0 polygons
2026-08-08 22:32:11 +0200: Memory Usage (459976K) : metal3_slit has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_text has 11 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_opc has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_noqrc has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_res has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_iprobe has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : metal3_diffprb has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : nwell_drw has 1682 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : nwell_pin has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : nbulay_drw has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : nbulay_pin has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : nbulay_block has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : emwind_drw has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : emwind_opc has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : deepco_drw has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : deepco_drw has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : mim_drw has 0 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : edgeseal_drw has 24 polygons
2026-08-08 22:32:12 +0200: Memory Usage (459976K) : edgeseal_bound has 1 polygons
