# Logfile created on 2026-08-08 22:31:27 +0200 by logger.rb/v1.5.3
2026-08-08 22:31:27 +0200: Memory Usage (454688K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:31:27 +0200: Memory Usage (454688K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:31:27 +0200: Memory Usage (456784K) : Loading database to memory is complete.
2026-08-08 22:31:27 +0200: Memory Usage (456784K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_metalslits.lyrdb
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : Evaluate switches.
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : tables selected: metalslits
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : deep mode is enabled.
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : FEOL enabled: false
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : BEOL enabled: false
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : OFFGRID enabled: true
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : ANGLE enabled: true
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : PIN enabled: false
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : FORBIDDEN enabled: false
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : RECOMMENDED enabled: true
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : PreCheck DRC enabled: false
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:31:27 +0200: Memory Usage (456972K) : Read in polygons from layers.
2026-08-08 22:31:27 +0200: Memory Usage (458544K) : activ_drw has 8060 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458544K) : activ_pin has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458544K) : activ_mask has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458544K) : activ_filler has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458544K) : activ_nofill has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458800K) : activ_opc has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458800K) : activ_iopc has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458800K) : activ_noqrc has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458800K) : biwind_drw has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458800K) : biwind_opc has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458928K) : pemwind_drw has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (458928K) : gatpoly_drw has 8381 polygons
2026-08-08 22:31:27 +0200: Memory Usage (459056K) : gatpoly_pin has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (459184K) : gatpoly_filler has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (459184K) : gatpoly_nofill has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (459312K) : gatpoly_opc has 0 polygons
2026-08-08 22:31:27 +0200: Memory Usage (459312K) : gatpoly_iopc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459312K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459440K) : cont_drw has 54323 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459440K) : cont_opc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : nsd_drw has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : nsd_block has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_drw has 15572 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_pin has 5570 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_mask has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_filler has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_nofill has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459568K) : metal1_slit has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_text has 5488 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_opc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_noqrc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_res has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_iprobe has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal1_diffprb has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : passiv_drw has 12 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : passiv_pin has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : passiv_sbump has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : passiv_pillar has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : passiv_pdl has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_drw has 7662 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_pin has 19 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_mask has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_filler has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_nofill has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_slit has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_text has 19 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_opc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_noqrc has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_res has 0 polygons
2026-08-08 22:31:28 +0200: Memory Usage (459884K) : metal2_iprobe has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal2_diffprb has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : baspoly_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : baspoly_pin has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : psd_drw has 3408 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : nldb_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : digibnd_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : via1_drw has 2569 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_pin has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_mask has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_filler has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_nofill has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_slit has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_text has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_opc has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_noqrc has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_res has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_iprobe has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backmetal1_diffprb has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : backpassiv_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : res_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : sram_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : trans_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : ind_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : ind_pin has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : ind_text has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : salblock_drw has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : via2_drw has 2316 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_drw has 3647 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_pin has 11 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_mask has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_filler has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_nofill has 0 polygons
2026-08-08 22:31:29 +0200: Memory Usage (459884K) : metal3_slit has 0 polygons
