# Logfile created on 2026-08-08 22:31:24 +0200 by logger.rb/v1.5.3
2026-08-08 22:31:24 +0200: Memory Usage (454776K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:31:24 +0200: Memory Usage (454776K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:31:24 +0200: Memory Usage (456612K) : Loading database to memory is complete.
2026-08-08 22:31:24 +0200: Memory Usage (456612K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_passiv.lyrdb
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : Evaluate switches.
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : tables selected: passiv
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : deep mode is enabled.
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : FEOL enabled: false
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : BEOL enabled: false
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : OFFGRID enabled: true
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : ANGLE enabled: true
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : PIN enabled: false
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : FORBIDDEN enabled: false
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : RECOMMENDED enabled: true
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : PreCheck DRC enabled: false
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:31:24 +0200: Memory Usage (456740K) : Read in polygons from layers.
2026-08-08 22:31:25 +0200: Memory Usage (458380K) : activ_drw has 8060 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458380K) : activ_pin has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458380K) : activ_mask has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458380K) : activ_filler has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458380K) : activ_nofill has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458508K) : activ_opc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458508K) : activ_iopc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458508K) : activ_noqrc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458508K) : biwind_drw has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458508K) : biwind_opc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458636K) : pemwind_drw has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458636K) : gatpoly_drw has 8381 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458764K) : gatpoly_pin has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458892K) : gatpoly_filler has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (458892K) : gatpoly_nofill has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459020K) : gatpoly_opc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459020K) : gatpoly_iopc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459148K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459148K) : cont_drw has 54323 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459276K) : cont_opc has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459404K) : nsd_drw has 0 polygons
2026-08-08 22:31:25 +0200: Memory Usage (459404K) : nsd_block has 0 polygons
