# Logfile created on 2026-08-08 22:32:39 +0200 by logger.rb/v1.5.3
2026-08-08 22:32:39 +0200: Memory Usage (454252K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:32:39 +0200: Memory Usage (454252K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : Loading database to memory is complete.
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_pin.lyrdb
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : Evaluate switches.
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : tables selected: pin
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : deep mode is enabled.
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : FEOL enabled: false
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : BEOL enabled: false
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : OFFGRID enabled: true
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : ANGLE enabled: true
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : PIN enabled: false
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : FORBIDDEN enabled: false
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : RECOMMENDED enabled: true
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : PreCheck DRC enabled: false
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:32:39 +0200: Memory Usage (456340K) : Read in polygons from layers.
2026-08-08 22:32:39 +0200: Memory Usage (457980K) : activ_drw has 8060 polygons
2026-08-08 22:32:39 +0200: Memory Usage (457980K) : activ_pin has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (457980K) : activ_mask has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (457980K) : activ_filler has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (457980K) : activ_nofill has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458108K) : activ_opc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458108K) : activ_iopc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458108K) : activ_noqrc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458108K) : biwind_drw has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458108K) : biwind_opc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458236K) : pemwind_drw has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458236K) : gatpoly_drw has 8381 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458364K) : gatpoly_pin has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458364K) : gatpoly_filler has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458492K) : gatpoly_nofill has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458620K) : gatpoly_opc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458620K) : gatpoly_iopc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458748K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (458876K) : cont_drw has 54323 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459004K) : cont_opc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459132K) : nsd_drw has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459132K) : nsd_block has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459132K) : metal1_drw has 15572 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459260K) : metal1_pin has 5570 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459260K) : metal1_mask has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459388K) : metal1_filler has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459388K) : metal1_nofill has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459516K) : metal1_slit has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459820K) : metal1_text has 5488 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459948K) : metal1_opc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459948K) : metal1_noqrc has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (459948K) : metal1_res has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (460076K) : metal1_iprobe has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (460076K) : metal1_diffprb has 0 polygons
2026-08-08 22:32:39 +0200: Memory Usage (460204K) : passiv_drw has 12 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : passiv_pin has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : passiv_sbump has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : passiv_pillar has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : passiv_pdl has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_drw has 7662 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_pin has 19 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_mask has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_filler has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_nofill has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_slit has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_text has 19 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_opc has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_noqrc has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_res has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_iprobe has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : metal2_diffprb has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : baspoly_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : baspoly_pin has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : psd_drw has 3408 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : nldb_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : digibnd_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : via1_drw has 2569 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_pin has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_mask has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_filler has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_nofill has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_slit has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_text has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_opc has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_noqrc has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_res has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_iprobe has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backmetal1_diffprb has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : backpassiv_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : res_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : sram_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : trans_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : ind_drw has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : ind_pin has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : ind_text has 0 polygons
2026-08-08 22:32:40 +0200: Memory Usage (460204K) : salblock_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : via2_drw has 2316 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_drw has 3647 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_pin has 11 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_mask has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_filler has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_nofill has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_slit has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_text has 11 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_opc has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_noqrc has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_res has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_iprobe has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal3_diffprb has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nwell_drw has 1682 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nwell_pin has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nbulay_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nbulay_pin has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nbulay_block has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : emwind_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : emwind_opc has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : deepco_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : deepco_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : mim_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : edgeseal_drw has 24 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : edgeseal_bound has 1 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : substrate_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : substrate_text has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : dfpad_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : dfpad_pillar has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : dfpad_sbump has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : thickgateox_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pldb_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pwell_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pwell_pin has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pwell_block has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : ic_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : via3_drw has 597 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_drw has 492 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_pin has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_mask has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_filler has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_nofill has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_slit has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_text has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_opc has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_noqrc has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_res has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_iprobe has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : metal4_diffprb has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : heattrans_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : heatres_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pempoly_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : fbe_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : empoly_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : ldmos_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : pbiwind_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : digisub_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : nodrc_drw has 0 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : text_drw has 2 polygons
2026-08-08 22:32:41 +0200: Memory Usage (460204K) : via4_drw has 468 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_drw has 311 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_pin has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_mask has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_filler has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_nofill has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_slit has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_text has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_opc has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_noqrc has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_res has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_iprobe has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : metal5_diffprb has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : radhard_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : memcap_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : varicap_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : flash_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : intbondvia_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : intbondmet_drw has 0 polygons
2026-08-08 22:32:42 +0200: Memory Usage (460204K) : devbondvia_drw has 0 polygons
