# Logfile created on 2026-08-08 22:28:40 +0200 by logger.rb/v1.5.3
2026-08-08 22:28:40 +0200: Memory Usage (454924K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:28:40 +0200: Memory Usage (454924K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:28:40 +0200: Memory Usage (456836K) : Loading database to memory is complete.
2026-08-08 22:28:40 +0200: Memory Usage (456836K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_pwellblock.lyrdb
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : Evaluate switches.
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : tables selected: pwellblock
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : deep mode is enabled.
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : FEOL enabled: false
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : BEOL enabled: false
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : OFFGRID enabled: true
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : ANGLE enabled: true
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : PIN enabled: false
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : FORBIDDEN enabled: false
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : RECOMMENDED enabled: true
2026-08-08 22:28:40 +0200: Memory Usage (457020K) : PreCheck DRC enabled: false
2026-08-08 22:28:41 +0200: Memory Usage (457020K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:28:41 +0200: Memory Usage (457020K) : Read in polygons from layers.
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_drw has 8060 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_pin has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_mask has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_filler has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_nofill has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_opc has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_iopc has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : activ_noqrc has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : biwind_drw has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : biwind_opc has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : pemwind_drw has 0 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : gatpoly_drw has 8381 polygons
2026-08-08 22:28:41 +0200: Memory Usage (458516K) : gatpoly_pin has 0 polygons
