# Logfile created on 2026-08-08 22:32:05 +0200 by logger.rb/v1.5.3
2026-08-08 22:32:05 +0200: Memory Usage (454844K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:32:05 +0200: Memory Usage (454844K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:32:05 +0200: Memory Usage (456840K) : Loading database to memory is complete.
2026-08-08 22:32:05 +0200: Memory Usage (456840K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_topmetal1.lyrdb
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : Evaluate switches.
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : tables selected: topmetal1
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : deep mode is enabled.
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : FEOL enabled: false
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : BEOL enabled: false
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : OFFGRID enabled: true
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : ANGLE enabled: true
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : PIN enabled: false
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : FORBIDDEN enabled: false
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : RECOMMENDED enabled: true
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : PreCheck DRC enabled: false
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:32:05 +0200: Memory Usage (457028K) : Read in polygons from layers.
2026-08-08 22:32:05 +0200: Memory Usage (458696K) : activ_drw has 8060 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458696K) : activ_pin has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458696K) : activ_mask has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458696K) : activ_filler has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458696K) : activ_nofill has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458824K) : activ_opc has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458824K) : activ_iopc has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458824K) : activ_noqrc has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458952K) : biwind_drw has 0 polygons
2026-08-08 22:32:05 +0200: Memory Usage (458952K) : biwind_opc has 0 polygons
