# Logfile created on 2026-08-08 22:31:48 +0200 by logger.rb/v1.5.3
2026-08-08 22:31:48 +0200: Memory Usage (455276K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:31:48 +0200: Memory Usage (455276K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:31:48 +0200: Memory Usage (457128K) : Loading database to memory is complete.
2026-08-08 22:31:48 +0200: Memory Usage (457128K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_topmetal1filler.lyrdb
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : Evaluate switches.
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : tables selected: topmetal1filler
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : deep mode is enabled.
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : FEOL enabled: false
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : BEOL enabled: false
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : OFFGRID enabled: true
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : ANGLE enabled: true
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : PIN enabled: false
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : FORBIDDEN enabled: false
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : RECOMMENDED enabled: true
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : PreCheck DRC enabled: false
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:31:48 +0200: Memory Usage (457312K) : Read in polygons from layers.
2026-08-08 22:31:48 +0200: Memory Usage (458680K) : activ_drw has 8060 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458680K) : activ_pin has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458680K) : activ_mask has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458680K) : activ_filler has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458680K) : activ_nofill has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : activ_opc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : activ_iopc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : activ_noqrc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : biwind_drw has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : biwind_opc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : pemwind_drw has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (458936K) : gatpoly_drw has 8381 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459064K) : gatpoly_pin has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459192K) : gatpoly_filler has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459192K) : gatpoly_nofill has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459320K) : gatpoly_opc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459320K) : gatpoly_iopc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459448K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459580K) : cont_drw has 54323 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459708K) : cont_opc has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459836K) : nsd_drw has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459836K) : nsd_block has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459836K) : metal1_drw has 15572 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459964K) : metal1_pin has 5570 polygons
2026-08-08 22:31:48 +0200: Memory Usage (459964K) : metal1_mask has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (460092K) : metal1_filler has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (460092K) : metal1_nofill has 0 polygons
2026-08-08 22:31:48 +0200: Memory Usage (460220K) : metal1_slit has 0 polygons
