# Logfile created on 2026-08-08 22:30:22 +0200 by logger.rb/v1.5.3
2026-08-08 22:30:22 +0200: Memory Usage (455064K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:30:22 +0200: Memory Usage (455064K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:30:22 +0200: Memory Usage (457104K) : Loading database to memory is complete.
2026-08-08 22:30:22 +0200: Memory Usage (457104K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_vian.lyrdb
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : Evaluate switches.
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : tables selected: vian
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : deep mode is enabled.
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : FEOL enabled: false
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : BEOL enabled: false
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : OFFGRID enabled: true
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : ANGLE enabled: true
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : PIN enabled: false
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : FORBIDDEN enabled: false
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : RECOMMENDED enabled: true
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : PreCheck DRC enabled: false
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:30:22 +0200: Memory Usage (457288K) : Read in polygons from layers.
2026-08-08 22:30:22 +0200: Memory Usage (458656K) : activ_drw has 8060 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458656K) : activ_pin has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458656K) : activ_mask has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458656K) : activ_filler has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458656K) : activ_nofill has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : activ_opc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : activ_iopc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : activ_noqrc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : biwind_drw has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : biwind_opc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : pemwind_drw has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : gatpoly_drw has 8381 polygons
2026-08-08 22:30:22 +0200: Memory Usage (458912K) : gatpoly_pin has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459040K) : gatpoly_filler has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459168K) : gatpoly_nofill has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459168K) : gatpoly_opc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459168K) : gatpoly_iopc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459296K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459296K) : cont_drw has 54323 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459424K) : cont_opc has 0 polygons
2026-08-08 22:30:22 +0200: Memory Usage (459424K) : nsd_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459552K) : nsd_block has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459552K) : metal1_drw has 15572 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459680K) : metal1_pin has 5570 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459808K) : metal1_mask has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459808K) : metal1_filler has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459936K) : metal1_nofill has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (459936K) : metal1_slit has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_text has 5488 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_opc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_noqrc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_res has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_iprobe has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal1_diffprb has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : passiv_drw has 12 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : passiv_pin has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : passiv_sbump has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : passiv_pillar has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : passiv_pdl has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_drw has 7662 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_pin has 19 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_mask has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_filler has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_nofill has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_slit has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_text has 19 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_opc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_noqrc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_res has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_iprobe has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : metal2_diffprb has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : baspoly_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : baspoly_pin has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : psd_drw has 3408 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : nldb_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : digibnd_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : via1_drw has 2569 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_pin has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_mask has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_filler has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_nofill has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_slit has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_text has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_opc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_noqrc has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460248K) : backmetal1_res has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460376K) : backmetal1_iprobe has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460504K) : backmetal1_diffprb has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460504K) : backpassiv_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460504K) : res_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460632K) : sram_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460632K) : trans_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460632K) : ind_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460632K) : ind_pin has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : ind_text has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : salblock_drw has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : via2_drw has 2316 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_drw has 3647 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_pin has 11 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_mask has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_filler has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_nofill has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_slit has 0 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_text has 11 polygons
2026-08-08 22:30:23 +0200: Memory Usage (460760K) : metal3_opc has 0 polygons
