# Logfile created on 2026-08-08 22:49:38 +0200 by logger.rb/v1.5.3
2026-08-08 22:49:38 +0200: Memory Usage (454632K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:49:38 +0200: Memory Usage (454632K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : Loading database to memory is complete.
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_gatpolyfiller.lyrdb
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : Evaluate switches.
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : tables selected: gatpolyfiller
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : deep mode is enabled.
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : FEOL enabled: false
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : BEOL enabled: false
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : OFFGRID enabled: true
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : ANGLE enabled: true
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : PIN enabled: false
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : FORBIDDEN enabled: false
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : RECOMMENDED enabled: true
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : PreCheck DRC enabled: false
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:49:38 +0200: Memory Usage (455956K) : Read in polygons from layers.
2026-08-08 22:49:38 +0200: Memory Usage (457456K) : activ_drw has 7986 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_pin has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_mask has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_filler has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_nofill has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_opc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_iopc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457584K) : activ_noqrc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457712K) : biwind_drw has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457712K) : biwind_opc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457840K) : pemwind_drw has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457840K) : gatpoly_drw has 8374 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457968K) : gatpoly_pin has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (457968K) : gatpoly_filler has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (458096K) : gatpoly_nofill has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (458096K) : gatpoly_opc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (458224K) : gatpoly_iopc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (458224K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:49:38 +0200: Memory Usage (458352K) : cont_drw has 54393 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458352K) : cont_opc has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458352K) : nsd_drw has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458352K) : nsd_block has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_drw has 15531 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_pin has 5535 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_mask has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_filler has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_nofill has 0 polygons
2026-08-08 22:49:39 +0200: Memory Usage (458480K) : metal1_slit has 0 polygons
