# Logfile created on 2026-08-08 22:50:12 +0200 by logger.rb/v1.5.3
2026-08-08 22:50:12 +0200: Memory Usage (454520K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:50:12 +0200: Memory Usage (454520K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:50:12 +0200: Memory Usage (455800K) : Loading database to memory is complete.
2026-08-08 22:50:12 +0200: Memory Usage (455800K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_lbe.lyrdb
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : Evaluate switches.
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : tables selected: lbe
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : deep mode is enabled.
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : FEOL enabled: false
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : BEOL enabled: false
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : OFFGRID enabled: true
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : ANGLE enabled: true
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : PIN enabled: false
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : FORBIDDEN enabled: false
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : RECOMMENDED enabled: true
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : PreCheck DRC enabled: false
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:50:12 +0200: Memory Usage (455928K) : Read in polygons from layers.
2026-08-08 22:50:12 +0200: Memory Usage (457372K) : activ_drw has 7986 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457500K) : activ_pin has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457500K) : activ_mask has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457500K) : activ_filler has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457500K) : activ_nofill has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457628K) : activ_opc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457628K) : activ_iopc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457628K) : activ_noqrc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457756K) : biwind_drw has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457756K) : biwind_opc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457884K) : pemwind_drw has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (457884K) : gatpoly_drw has 8374 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458012K) : gatpoly_pin has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458012K) : gatpoly_filler has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458140K) : gatpoly_nofill has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458268K) : gatpoly_opc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458268K) : gatpoly_iopc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458268K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458396K) : cont_drw has 54393 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : cont_opc has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : nsd_drw has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : nsd_block has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : metal1_drw has 15531 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : metal1_pin has 5535 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : metal1_mask has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : metal1_filler has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458524K) : metal1_nofill has 0 polygons
2026-08-08 22:50:12 +0200: Memory Usage (458652K) : metal1_slit has 0 polygons
2026-08-08 22:50:13 +0200: Memory Usage (458956K) : metal1_text has 5454 polygons
2026-08-08 22:50:13 +0200: Memory Usage (458956K) : metal1_opc has 0 polygons
2026-08-08 22:50:13 +0200: Memory Usage (458956K) : metal1_noqrc has 0 polygons
2026-08-08 22:50:13 +0200: Memory Usage (458956K) : metal1_res has 0 polygons
2026-08-08 22:50:13 +0200: Memory Usage (459084K) : metal1_iprobe has 0 polygons
