# Logfile created on 2026-08-08 22:49:36 +0200 by logger.rb/v1.5.3
2026-08-08 22:49:36 +0200: Memory Usage (454896K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:49:36 +0200: Memory Usage (454896K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : Loading database to memory is complete.
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_nbulay.lyrdb
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : Evaluate switches.
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : tables selected: nbulay
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : deep mode is enabled.
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : FEOL enabled: false
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : BEOL enabled: false
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : OFFGRID enabled: true
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : ANGLE enabled: true
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : PIN enabled: false
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : FORBIDDEN enabled: false
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : RECOMMENDED enabled: true
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : PreCheck DRC enabled: false
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : CONNECTIVITY_RULES enabled: true.
2026-08-08 22:49:36 +0200: Memory Usage (456396K) : Read in polygons from layers.
2026-08-08 22:49:36 +0200: Memory Usage (457716K) : activ_drw has 7986 polygons
2026-08-08 22:49:36 +0200: Memory Usage (457716K) : activ_pin has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (457716K) : activ_mask has 0 polygons
