# Logfile created on 2026-08-08 22:50:43 +0200 by logger.rb/v1.5.3
2026-08-08 22:50:43 +0200: Memory Usage (454408K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:50:43 +0200: Memory Usage (454408K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:50:43 +0200: Memory Usage (455676K) : Loading database to memory is complete.
2026-08-08 22:50:43 +0200: Memory Usage (455676K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_passiv.lyrdb
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : Evaluate switches.
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : tables selected: passiv
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : deep mode is enabled.
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : FEOL enabled: false
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : BEOL enabled: false
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : OFFGRID enabled: true
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : ANGLE enabled: true
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : PIN enabled: false
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : FORBIDDEN enabled: false
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : RECOMMENDED enabled: true
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : PreCheck DRC enabled: false
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:50:43 +0200: Memory Usage (455804K) : Read in polygons from layers.
2026-08-08 22:50:43 +0200: Memory Usage (457188K) : activ_drw has 7986 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457316K) : activ_pin has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457316K) : activ_mask has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457316K) : activ_filler has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457316K) : activ_nofill has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457444K) : activ_opc has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457444K) : activ_iopc has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457444K) : activ_noqrc has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457444K) : biwind_drw has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457572K) : biwind_opc has 0 polygons
2026-08-08 22:50:43 +0200: Memory Usage (457572K) : pemwind_drw has 0 polygons
2026-08-08 22:50:44 +0200: Memory Usage (457700K) : gatpoly_drw has 8374 polygons
2026-08-08 22:50:44 +0200: Memory Usage (457700K) : gatpoly_pin has 0 polygons
2026-08-08 22:50:44 +0200: Memory Usage (457828K) : gatpoly_filler has 0 polygons
2026-08-08 22:50:44 +0200: Memory Usage (457956K) : gatpoly_nofill has 0 polygons
