# Logfile created on 2026-08-08 22:49:35 +0200 by logger.rb/v1.5.3
2026-08-08 22:49:35 +0200: Memory Usage (454896K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:49:35 +0200: Memory Usage (454896K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:49:35 +0200: Memory Usage (456356K) : Loading database to memory is complete.
2026-08-08 22:49:35 +0200: Memory Usage (456356K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_schottkydiode.lyrdb
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : Evaluate switches.
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : tables selected: schottkydiode
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : deep mode is enabled.
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : FEOL enabled: false
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : BEOL enabled: false
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : OFFGRID enabled: true
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : ANGLE enabled: true
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : PIN enabled: false
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : FORBIDDEN enabled: false
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : RECOMMENDED enabled: true
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : PreCheck DRC enabled: false
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:49:35 +0200: Memory Usage (456484K) : Read in polygons from layers.
2026-08-08 22:49:35 +0200: Memory Usage (457776K) : activ_drw has 7986 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457776K) : activ_pin has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457776K) : activ_mask has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457776K) : activ_filler has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457776K) : activ_nofill has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457904K) : activ_opc has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457904K) : activ_iopc has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (457904K) : activ_noqrc has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458032K) : biwind_drw has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458032K) : biwind_opc has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458160K) : pemwind_drw has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458160K) : gatpoly_drw has 8374 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458160K) : gatpoly_pin has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458288K) : gatpoly_filler has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458416K) : gatpoly_nofill has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458544K) : gatpoly_opc has 0 polygons
2026-08-08 22:49:35 +0200: Memory Usage (458544K) : gatpoly_iopc has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458672K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458672K) : cont_drw has 54393 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458672K) : cont_opc has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458672K) : nsd_drw has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458672K) : nsd_block has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_drw has 15531 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_pin has 5535 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_mask has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_filler has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_nofill has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (458856K) : metal1_slit has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_text has 5454 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_opc has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_noqrc has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_res has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_iprobe has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal1_diffprb has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : passiv_drw has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : passiv_pin has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : passiv_sbump has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : passiv_pillar has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : passiv_pdl has 0 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal2_drw has 7663 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal2_pin has 19 polygons
2026-08-08 22:49:36 +0200: Memory Usage (459040K) : metal2_mask has 0 polygons
