# Logfile created on 2026-08-08 22:50:57 +0200 by logger.rb/v1.5.3
2026-08-08 22:50:57 +0200: Memory Usage (454940K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:50:57 +0200: Memory Usage (454940K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : Loading database to memory is complete.
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_topvia1.lyrdb
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : Evaluate switches.
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : tables selected: topvia1
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : deep mode is enabled.
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : FEOL enabled: false
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : BEOL enabled: false
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : OFFGRID enabled: true
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : ANGLE enabled: true
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : PIN enabled: false
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : FORBIDDEN enabled: false
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : RECOMMENDED enabled: true
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : PreCheck DRC enabled: false
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:50:57 +0200: Memory Usage (456268K) : Read in polygons from layers.
2026-08-08 22:50:57 +0200: Memory Usage (457504K) : activ_drw has 7986 polygons
2026-08-08 22:50:57 +0200: Memory Usage (457632K) : activ_pin has 0 polygons
2026-08-08 22:50:57 +0200: Memory Usage (457632K) : activ_mask has 0 polygons
2026-08-08 22:50:57 +0200: Memory Usage (457632K) : activ_filler has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457632K) : activ_nofill has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457632K) : activ_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457632K) : activ_iopc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457632K) : activ_noqrc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457632K) : biwind_drw has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457760K) : biwind_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457760K) : pemwind_drw has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457888K) : gatpoly_drw has 8374 polygons
2026-08-08 22:50:58 +0200: Memory Usage (457888K) : gatpoly_pin has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458016K) : gatpoly_filler has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458144K) : gatpoly_nofill has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458144K) : gatpoly_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458272K) : gatpoly_iopc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458272K) : gatpoly_noqrc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : cont_drw has 54393 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : cont_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : nsd_drw has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : nsd_block has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_drw has 15531 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_pin has 5535 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_mask has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_filler has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_nofill has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458400K) : metal1_slit has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_text has 5454 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_noqrc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_res has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_iprobe has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal1_diffprb has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : passiv_drw has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : passiv_pin has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : passiv_sbump has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : passiv_pillar has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : passiv_pdl has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_drw has 7663 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_pin has 19 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_mask has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_filler has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_nofill has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_slit has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_text has 19 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_opc has 0 polygons
2026-08-08 22:50:58 +0200: Memory Usage (458588K) : metal2_noqrc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal2_res has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal2_iprobe has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal2_diffprb has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : baspoly_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : baspoly_pin has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : psd_drw has 3352 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nldb_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : digibnd_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : via1_drw has 2532 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_pin has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_mask has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_filler has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_nofill has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_slit has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_text has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_opc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_noqrc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_res has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_iprobe has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backmetal1_diffprb has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : backpassiv_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : res_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : sram_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : trans_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : ind_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : ind_pin has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : ind_text has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : salblock_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : via2_drw has 2276 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_drw has 3581 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_pin has 11 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_mask has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_filler has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_nofill has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_slit has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_text has 11 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_opc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_noqrc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_res has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_iprobe has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : metal3_diffprb has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nwell_drw has 1666 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nwell_pin has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nbulay_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nbulay_pin has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : nbulay_block has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : emwind_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : emwind_opc has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : deepco_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458588K) : deepco_drw has 0 polygons
2026-08-08 22:50:59 +0200: Memory Usage (458716K) : mim_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : edgeseal_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : edgeseal_bound has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : substrate_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : substrate_text has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : dfpad_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : dfpad_pillar has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : dfpad_sbump has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : thickgateox_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pldb_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pwell_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pwell_pin has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pwell_block has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : ic_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : via3_drw has 512 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_drw has 385 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_pin has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_mask has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_filler has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_nofill has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_slit has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_text has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_opc has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_noqrc has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_res has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_iprobe has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal4_diffprb has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : heattrans_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : heatres_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pempoly_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : fbe_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : empoly_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : ldmos_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : pbiwind_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : digisub_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : nodrc_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : text_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : via4_drw has 410 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_drw has 268 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_pin has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_mask has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_filler has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_nofill has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_slit has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_text has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_opc has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_noqrc has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_res has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_iprobe has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : metal5_diffprb has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : radhard_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : memcap_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : varicap_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : flash_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : intbondvia_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : intbondmet_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : devbondvia_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : devbondmet_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : devtrench_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : redist_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : graphbot_drw has 0 polygons
2026-08-08 22:51:00 +0200: Memory Usage (458716K) : graphtop_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : antvia1_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : antmetal2_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphcont_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : siwg_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : siwg_filler has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : siwg_nofill has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : sigrating_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : singrating_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphpas_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : emwind3_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : emwihv3_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : redbulay_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : smos_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphpad_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : polimide_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : polimide_pin has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_pin has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_esd has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_diode has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_tsv has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_iprobe has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_diffprb has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_pillar has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_sbump has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_otp has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_pdiode has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_mom has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : recog_pcm has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : colopen_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphmetal1_drw has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphmetal1_filler has 0 polygons
2026-08-08 22:51:01 +0200: Memory Usage (458716K) : graphmetal1_nofill has 0 polygons
